"affy_hg_u133_plus_2","ensembl_gene_id","gene_biotype","external_gene_name","p_value"
"204148_s_at","ENSG00000276464","protein_coding","POMZP3",NA
"203815_at","ENSG00000277656","protein_coding","GSTT1",NA
"203307_at","ENSG00000235986","protein_coding","GNL1",NA
"201891_s_at","ENSG00000273686","protein_coding","B2M",NA
"202395_at","ENSG00000278174","protein_coding","NSF",NA
"202929_s_at","ENSG00000275758","protein_coding","DDTL",NA
"203878_s_at","ENSG00000275365","protein_coding","MMP11",NA
"203876_s_at","ENSG00000275365","protein_coding","MMP11",NA
"203062_s_at","ENSG00000224587","protein_coding","MDC1",NA
"203061_s_at","ENSG00000224587","protein_coding","MDC1",NA
"203932_at","ENSG00000242386","protein_coding","HLA-DMB",NA
"203052_at","ENSG00000206372","protein_coding","C2",NA
"202307_s_at","ENSG00000227816","protein_coding","TAP1",NA
"203690_at","ENSG00000282003","protein_coding","TUBGCP3",NA
"204145_at","ENSG00000275145","protein_coding","FRG1",NA
"201797_s_at","ENSG00000224264","protein_coding","VARS1",NA
"201796_s_at","ENSG00000224264","protein_coding","VARS1",NA
"201797_s_at","ENSG00000231116","protein_coding","VARS1",NA
"201796_s_at","ENSG00000231116","protein_coding","VARS1",NA
"203052_at","ENSG00000231543","protein_coding","C2",NA
"201255_x_at","ENSG00000229524","protein_coding","BAG6",NA
"203288_at","ENSG00000282735","protein_coding","GARRE1",NA
"202326_at","ENSG00000238134","protein_coding","EHMT2",NA
"203239_s_at","ENSG00000277615","protein_coding","CNOT3",NA
"202381_at","ENSG00000282230","protein_coding","ADAM9",NA
"200799_at","ENSG00000235941","protein_coding","HSPA1A",NA
"200800_s_at","ENSG00000235941","protein_coding","HSPA1A",NA
"200041_s_at","ENSG00000254899","protein_coding","",NA
"202408_s_at","ENSG00000274144","protein_coding","PRPF31",NA
"202407_s_at","ENSG00000274144","protein_coding","PRPF31",NA
"201818_at","ENSG00000275079","protein_coding","LPCAT1",NA
"203694_s_at","ENSG00000226171","protein_coding","DHX16",NA
"203932_at","ENSG00000242092","protein_coding","HLA-DMB",NA
"203694_s_at","ENSG00000233049","protein_coding","DHX16",NA
"204538_x_at","ENSG00000282705","protein_coding","NPIPA5",NA
"203038_at","ENSG00000273993","protein_coding","PTPRK",NA
"203307_at","ENSG00000206412","protein_coding","GNL1",NA
"201644_at","ENSG00000278243","protein_coding","GFUS",NA
"202145_at","ENSG00000278032","protein_coding","LY6E",NA
"204919_at","ENSG00000282269","protein_coding","PRR4",NA
"201255_x_at","ENSG00000228760","protein_coding","BAG6",NA
"203893_at","ENSG00000279247","protein_coding","AK6",NA
"204919_at","ENSG00000277454","protein_coding","",NA
"202262_x_at","ENSG00000225635","protein_coding","DDAH2",NA
"203852_s_at","ENSG00000277773","protein_coding","SMN2",NA
"203062_s_at","ENSG00000234012","protein_coding","MDC1",NA
"203061_s_at","ENSG00000234012","protein_coding","MDC1",NA
"204806_x_at","ENSG00000234487","protein_coding","HLA-F",NA
"203577_at","ENSG00000285213","lncRNA","",NA
"200904_at","ENSG00000206493","protein_coding","HLA-E",NA
"200905_x_at","ENSG00000206493","protein_coding","HLA-E",NA
"201631_s_at","ENSG00000235030","protein_coding","IER3",NA
"203307_at","ENSG00000228581","protein_coding","GNL1",NA
"201137_s_at","ENSG00000236693","protein_coding","HLA-DPB1",NA
"201500_s_at","ENSG00000234058","protein_coding","PPP1R11",NA
"203905_at","ENSG00000274829","protein_coding","PARN",NA
"204409_s_at","ENSG00000198692","protein_coding","EIF1AY",NA
"204410_at","ENSG00000198692","protein_coding","EIF1AY",NA
"203307_at","ENSG00000226882","protein_coding","GNL1",NA
"203062_s_at","ENSG00000225589","protein_coding","MDC1",NA
"203061_s_at","ENSG00000225589","protein_coding","MDC1",NA
"200045_at","ENSG00000236149","protein_coding","ABCF1",NA
"202326_at","ENSG00000232045","protein_coding","EHMT2",NA
"202357_s_at","ENSG00000242335","protein_coding","CFB",NA
"203239_s_at","ENSG00000277600","protein_coding","CNOT3",NA
"203577_at","ENSG00000226384","protein_coding","GTF2H4",NA
"204538_x_at","ENSG00000282788","lncRNA","",NA
"202408_s_at","ENSG00000277707","protein_coding","PRPF31",NA
"202407_s_at","ENSG00000277707","protein_coding","PRPF31",NA
"204806_x_at","ENSG00000237508","protein_coding","HLA-F",NA
"201797_s_at","ENSG00000096171","protein_coding","VARS1",NA
"201796_s_at","ENSG00000096171","protein_coding","VARS1",NA
"200045_at","ENSG00000225989","protein_coding","ABCF1",NA
"203146_s_at","ENSG00000232632","protein_coding","GABBR1",NA
"202262_x_at","ENSG00000206395","protein_coding","DDAH2",NA
"202875_s_at","ENSG00000236353","protein_coding","PBX2",NA
"202876_s_at","ENSG00000236353","protein_coding","PBX2",NA
"201049_s_at","ENSG00000223367","protein_coding","RPS18",NA
"200799_at","ENSG00000234475","protein_coding","HSPA1A",NA
"200800_s_at","ENSG00000234475","protein_coding","HSPA1A",NA
"203168_at","ENSG00000231608","protein_coding","TNXB",NA
"203146_s_at","ENSG00000206511","protein_coding","GABBR1",NA
"204060_s_at","ENSG00000099725","transcribed_unitary_pseudogene","PRKY",NA
"203239_s_at","ENSG00000277114","protein_coding","CNOT3",NA
"202326_at","ENSG00000224143","protein_coding","EHMT2",NA
"202262_x_at","ENSG00000227317","protein_coding","DDAH2",NA
"204795_at","ENSG00000223766","protein_coding","PRR3",NA
"203577_at","ENSG00000285089","lncRNA","",NA
"202581_at","ENSG00000231555","protein_coding","HSPA1B",NA
"200800_s_at","ENSG00000231555","protein_coding","HSPA1B",NA
"204770_at","ENSG00000225967","protein_coding","TAP2",NA
"204769_s_at","ENSG00000225967","protein_coding","TAP2",NA
"201390_s_at","ENSG00000230700","protein_coding","CSNK2B",NA
"204538_x_at","ENSG00000278308","protein_coding","NPIPA3",NA
"204538_x_at","ENSG00000273807","protein_coding","",NA
"201909_at","ENSG00000129824","protein_coding","RPS4Y1",NA
"204795_at","ENSG00000228186","protein_coding","PRR3",NA
"202667_s_at","ENSG00000229802","protein_coding","SLC39A7",NA
"203792_x_at","ENSG00000278644","protein_coding","PCGF2",NA
"203793_x_at","ENSG00000278644","protein_coding","PCGF2",NA
"201137_s_at","ENSG00000230708","protein_coding","HLA-DPB1",NA
"201703_s_at","ENSG00000231737","protein_coding","PPP1R10",NA
"201702_s_at","ENSG00000231737","protein_coding","PPP1R10",NA
"202386_s_at","ENSG00000277140","protein_coding","MARF1",NA
"204795_at","ENSG00000223887","protein_coding","PRR3",NA
"203168_at","ENSG00000206258","protein_coding","TNXB",NA
"201797_s_at","ENSG00000226589","protein_coding","VARS1",NA
"201796_s_at","ENSG00000226589","protein_coding","VARS1",NA
"202307_s_at","ENSG00000226173","protein_coding","TAP1",NA
"202702_at","ENSG00000228881","protein_coding","TRIM26",NA
"202702_at","ENSG00000226060","protein_coding","TRIM26",NA
"202804_at","ENSG00000278183","protein_coding","ABCC1",NA
"202805_s_at","ENSG00000278183","protein_coding","ABCC1",NA
"201390_s_at","ENSG00000232960","protein_coding","CSNK2B",NA
"203932_at","ENSG00000234154","protein_coding","HLA-DMB",NA
"203168_at","ENSG00000228628","protein_coding","ATF6B",NA
"201703_s_at","ENSG00000238104","protein_coding","PPP1R10",NA
"201702_s_at","ENSG00000238104","protein_coding","PPP1R10",NA
"204770_at","ENSG00000206235","protein_coding","TAP2",NA
"204769_s_at","ENSG00000206235","protein_coding","TAP2",NA
"204538_x_at","ENSG00000281994","protein_coding","NPIPA1",NA
"202875_s_at","ENSG00000225987","protein_coding","PBX2",NA
"202876_s_at","ENSG00000225987","protein_coding","PBX2",NA
"204770_at","ENSG00000232326","protein_coding","TAP2",NA
"204769_s_at","ENSG00000232326","protein_coding","TAP2",NA
"201081_s_at","ENSG00000277292","protein_coding","PIP4K2B",NA
"201080_at","ENSG00000277292","protein_coding","PIP4K2B",NA
"201631_s_at","ENSG00000237155","protein_coding","IER3",NA
"204279_at","ENSG00000242711","protein_coding","PSMB9",NA
"201255_x_at","ENSG00000234651","protein_coding","BAG6",NA
"200041_s_at","ENSG00000237889","protein_coding","DDX39B",NA
"200750_s_at","ENSG00000229038","processed_pseudogene","RANP1",NA
"204103_at","ENSG00000275824","protein_coding","CCL4",NA
"202326_at","ENSG00000236759","protein_coding","EHMT2",NA
"201255_x_at","ENSG00000096155","protein_coding","BAG6",NA
"200041_s_at","ENSG00000225859","protein_coding","DDX39B",NA
"204265_s_at","ENSG00000237052","protein_coding","GPSM3",NA
"201495_x_at","ENSG00000276480","protein_coding","MYH11",NA
"201497_x_at","ENSG00000276480","protein_coding","MYH11",NA
"201496_x_at","ENSG00000276480","protein_coding","MYH11",NA
"200750_s_at","ENSG00000224554","processed_pseudogene","RANP1",NA
"203727_at","ENSG00000223493","protein_coding","SKIV2L",NA
"201631_s_at","ENSG00000230128","protein_coding","IER3",NA
"200904_at","ENSG00000236632","protein_coding","HLA-E",NA
"200905_x_at","ENSG00000236632","protein_coding","HLA-E",NA
"203932_at","ENSG00000241296","protein_coding","HLA-DMB",NA
"202262_x_at","ENSG00000228128","protein_coding","DDAH2",NA
"200750_s_at","ENSG00000227703","processed_pseudogene","RANP1",NA
"1405_i_at","ENSG00000274233","protein_coding","CCL5",NA
"204655_at","ENSG00000274233","protein_coding","CCL5",NA
"203062_s_at","ENSG00000206481","protein_coding","MDC1",NA
"203061_s_at","ENSG00000206481","protein_coding","MDC1",NA
"203367_at","ENSG00000275932","protein_coding","DUSP14",NA
"202408_s_at","ENSG00000277154","protein_coding","PRPF31",NA
"202407_s_at","ENSG00000277154","protein_coding","PRPF31",NA
"202667_s_at","ENSG00000227402","protein_coding","SLC39A7",NA
"201763_s_at","ENSG00000231617","protein_coding","DAXX",NA
"200041_s_at","ENSG00000225073","protein_coding","DDX39B",NA
"204538_x_at","ENSG00000277983","protein_coding","NPIPA7",NA
"201492_s_at","ENSG00000279274","processed_pseudogene","",NA
"203577_at","ENSG00000234370","protein_coding","GTF2H4",NA
