"affy_hg_u133_plus_2","ensembl_gene_id","gene_biotype","external_gene_name","p_value"
"201912_s_at","ENSG00000103342","protein_coding","GSPT1",NA
"204088_at","ENSG00000135124","protein_coding","P2RX4",NA
"202950_at","ENSG00000116791","protein_coding","CRYZ",NA
"203365_s_at","ENSG00000102996","protein_coding","MMP15",NA
"204532_x_at","ENSG00000288702","protein_coding","UGT1A3",NA
"202478_at","ENSG00000071575","protein_coding","TRIB2",NA
"202479_s_at","ENSG00000071575","protein_coding","TRIB2",NA
"204532_x_at","ENSG00000242366","protein_coding","UGT1A8",NA
"204532_x_at","ENSG00000288705","protein_coding","UGT1A5",NA
"204532_x_at","ENSG00000244122","protein_coding","UGT1A7",NA
"201047_x_at","ENSG00000233087","protein_coding","RAB6D",NA
"200601_at","ENSG00000130402","protein_coding","ACTN4",NA
"204424_s_at","ENSG00000048540","protein_coding","LMO3",NA
"200809_x_at","ENSG00000144426","protein_coding","NBEAL1",NA
"200088_x_at","ENSG00000144426","protein_coding","NBEAL1",NA
"202379_s_at","ENSG00000114857","protein_coding","NKTR",NA
"202380_s_at","ENSG00000114857","protein_coding","NKTR",NA
"203615_x_at","ENSG00000288656","lncRNA","",NA
"203615_x_at","ENSG00000196502","protein_coding","SULT1A1",NA
"204925_at","ENSG00000040531","protein_coding","CTNS",NA
"203615_x_at","ENSG00000289755","lncRNA","",NA
"204617_s_at","ENSG00000102977","protein_coding","ACD",NA
"201979_s_at","ENSG00000011485","protein_coding","PPP5C",NA
"202738_s_at","ENSG00000102893","protein_coding","PHKB",NA
"202739_s_at","ENSG00000102893","protein_coding","PHKB",NA
"202122_s_at","ENSG00000105355","protein_coding","PLIN3",NA
"177_at","ENSG00000075651","protein_coding","PLD1",NA
"202090_s_at","ENSG00000267059","protein_coding","",NA
"202090_s_at","ENSG00000127540","protein_coding","UQCR11",NA
"203069_at","ENSG00000159164","protein_coding","SV2A",NA
"203802_x_at","ENSG00000223705","transcribed_unprocessed_pseudogene","NSUN5P1",NA
"204411_at","ENSG00000116852","protein_coding","KIF21B",NA
"204381_at","ENSG00000130881","protein_coding","LRP3",NA
"204381_at","ENSG00000273420","lncRNA","",NA
"204039_at","ENSG00000245848","protein_coding","CEBPA",NA
"204203_at","ENSG00000153879","protein_coding","CEBPG",NA
"200077_s_at","ENSG00000104904","protein_coding","OAZ1",NA
"201790_s_at","ENSG00000172893","protein_coding","DHCR7",NA
"201791_s_at","ENSG00000172893","protein_coding","DHCR7",NA
"204538_x_at","ENSG00000214967","protein_coding","NPIPA7",NA
"204538_x_at","ENSG00000214940","protein_coding","NPIPA8",NA
"202108_at","ENSG00000124299","protein_coding","PEPD",NA
"201467_s_at","ENSG00000181019","protein_coding","NQO1",NA
"201468_s_at","ENSG00000181019","protein_coding","NQO1",NA
"203774_at","ENSG00000116984","protein_coding","MTR",NA
"201273_s_at","ENSG00000143742","protein_coding","SRP9",NA
"202699_s_at","ENSG00000196187","protein_coding","TMEM63A",NA
"202700_s_at","ENSG00000196187","protein_coding","TMEM63A",NA
"200057_s_at","ENSG00000260290","processed_pseudogene","",NA
"202152_x_at","ENSG00000105698","protein_coding","USF2",NA
"200055_at","ENSG00000166337","protein_coding","TAF10",NA
"202017_at","ENSG00000143819","protein_coding","EPHX1",NA
"202440_s_at","ENSG00000166444","protein_coding","DENND2B",NA
"204225_at","ENSG00000068024","protein_coding","HDAC4",NA
"200020_at","ENSG00000120948","protein_coding","TARDBP",NA
"202592_at","ENSG00000135441","protein_coding","BLOC1S1",NA
"201565_s_at","ENSG00000115738","protein_coding","ID2",NA
"201516_at","ENSG00000116649","protein_coding","SRM",NA
"202553_s_at","ENSG00000117614","protein_coding","SYF2",NA
"201499_s_at","ENSG00000187555","protein_coding","USP7",NA
"201498_at","ENSG00000187555","protein_coding","USP7",NA
"201884_at","ENSG00000105388","protein_coding","CEACAM5",NA
"200750_s_at","ENSG00000132341","protein_coding","RAN",NA
"200749_at","ENSG00000132341","protein_coding","RAN",NA
"203757_s_at","ENSG00000086548","protein_coding","CEACAM6",NA
"202649_x_at","ENSG00000105372","protein_coding","RPS19",NA
"203136_at","ENSG00000105404","protein_coding","RABAC1",NA
"203136_at","ENSG00000285505","protein_coding","",NA
"204808_s_at","ENSG00000118600","protein_coding","RXYLT1",NA
"204807_at","ENSG00000118600","protein_coding","RXYLT1",NA
"202397_at","ENSG00000102898","protein_coding","NUTF2",NA
"201788_at","ENSG00000198231","protein_coding","DDX42",NA
"203292_s_at","ENSG00000160695","protein_coding","VPS11",NA
"202394_s_at","ENSG00000161204","protein_coding","ABCF3",NA
"203807_x_at","ENSG00000213218","protein_coding","CSH2",NA
"202493_x_at","ENSG00000213218","protein_coding","CSH2",NA
"203055_s_at","ENSG00000076928","protein_coding","ARHGEF1",NA
"201033_x_at","ENSG00000089157","protein_coding","RPLP0",NA
"201827_at","ENSG00000108604","protein_coding","SMARCD2",NA
"201087_at","ENSG00000089159","protein_coding","PXN",NA
"203040_s_at","ENSG00000256269","protein_coding","HMBS",NA
"202913_at","ENSG00000211581","miRNA","MIR765",NA
"202914_s_at","ENSG00000211581","miRNA","MIR765",NA
"201746_at","ENSG00000141510","protein_coding","TP53",NA
"201908_at","ENSG00000161202","protein_coding","DVL3",NA
"200613_at","ENSG00000161203","protein_coding","AP2M1",NA
"204113_at","ENSG00000149187","protein_coding","CELF1",NA
"200063_s_at","ENSG00000069493","protein_coding","CLEC2D",NA
"200063_s_at","ENSG00000213443","processed_pseudogene","NPM1P7",NA
"204893_s_at","ENSG00000157077","protein_coding","ZFYVE9",NA
"204879_at","ENSG00000162493","protein_coding","PDPN",NA
"201517_at","ENSG00000114503","protein_coding","NCBP2",NA
"201521_s_at","ENSG00000114503","protein_coding","NCBP2",NA
"201838_s_at","ENSG00000119760","protein_coding","SUPT7L",NA
"201836_s_at","ENSG00000119760","protein_coding","SUPT7L",NA
"201837_s_at","ENSG00000119760","protein_coding","SUPT7L",NA
"202493_x_at","ENSG00000136488","protein_coding","CSH1",NA
"203807_x_at","ENSG00000136488","protein_coding","CSH1",NA
"201844_s_at","ENSG00000163602","protein_coding","RYBP",NA
"201846_s_at","ENSG00000163602","protein_coding","RYBP",NA
"201845_s_at","ENSG00000163602","protein_coding","RYBP",NA
"204094_s_at","ENSG00000196428","protein_coding","TSC22D2",NA
"203378_at","ENSG00000254676","lncRNA","",NA
"204453_at","ENSG00000198040","protein_coding","ZNF84",NA
"203378_at","ENSG00000165494","protein_coding","PCF11",NA
"204348_s_at","ENSG00000233381","protein_coding","AK4P3",NA
"202106_at","ENSG00000090615","protein_coding","GOLGA3",NA
"204328_at","ENSG00000141524","protein_coding","TMC6",NA
"201927_s_at","ENSG00000144283","protein_coding","PKP4",NA
"201929_s_at","ENSG00000144283","protein_coding","PKP4",NA
"201928_at","ENSG00000144283","protein_coding","PKP4",NA
"202801_at","ENSG00000072062","protein_coding","PRKACA",NA
"200955_at","ENSG00000132305","protein_coding","IMMT",NA
"200729_s_at","ENSG00000138071","protein_coding","ACTR2",NA
"200728_at","ENSG00000138071","protein_coding","ACTR2",NA
"200727_s_at","ENSG00000138071","protein_coding","ACTR2",NA
"203831_at","ENSG00000179912","protein_coding","R3HDM2",NA
"203949_at","ENSG00000005381","protein_coding","MPO",NA
"203948_s_at","ENSG00000005381","protein_coding","MPO",NA
"203832_at","ENSG00000139343","protein_coding","SNRPF",NA
"203117_s_at","ENSG00000135473","protein_coding","PAN2",NA
"204847_at","ENSG00000066422","protein_coding","ZBTB11",NA
"201770_at","ENSG00000077312","protein_coding","SNRPA",NA
"201483_s_at","ENSG00000213246","protein_coding","SUPT4H1",NA
"201484_at","ENSG00000213246","protein_coding","SUPT4H1",NA
"201483_s_at","ENSG00000285897","protein_coding","",NA
"201484_at","ENSG00000285897","protein_coding","",NA
"203281_s_at","ENSG00000182179","protein_coding","UBA7",NA
"1294_at","ENSG00000182179","protein_coding","UBA7",NA
"203281_s_at","ENSG00000283726","miRNA","MIR5193",NA
"1294_at","ENSG00000283726","miRNA","MIR5193",NA
"201967_at","ENSG00000004534","protein_coding","RBM6",NA
"200872_at","ENSG00000197747","protein_coding","S100A10",NA
"203729_at","ENSG00000142227","protein_coding","EMP3",NA
"202726_at","ENSG00000105486","protein_coding","LIG1",NA
"200943_at","ENSG00000198496","lncRNA","NBR2",NA
"200943_at","ENSG00000267681","transcribed_processed_pseudogene","",NA
"201383_s_at","ENSG00000188554","protein_coding","NBR1",NA
"201384_s_at","ENSG00000188554","protein_coding","NBR1",NA
"201395_at","ENSG00000003756","protein_coding","RBM5",NA
"201394_s_at","ENSG00000003756","protein_coding","RBM5",NA
"204146_at","ENSG00000111247","protein_coding","RAD51AP1",NA
"203748_x_at","ENSG00000153250","protein_coding","RBMS1",NA
"204531_s_at","ENSG00000012048","protein_coding","BRCA1",NA
"200825_s_at","ENSG00000149428","protein_coding","HYOU1",NA
"202057_at","ENSG00000114030","protein_coding","KPNA1",NA
"202058_s_at","ENSG00000114030","protein_coding","KPNA1",NA
"202055_at","ENSG00000114030","protein_coding","KPNA1",NA
"202059_s_at","ENSG00000114030","protein_coding","KPNA1",NA
"202056_at","ENSG00000114030","protein_coding","KPNA1",NA
"203080_s_at","ENSG00000123636","protein_coding","BAZ2B",NA
"202045_s_at","ENSG00000160007","protein_coding","ARHGAP35",NA
"202044_at","ENSG00000160007","protein_coding","ARHGAP35",NA
"202046_s_at","ENSG00000160007","protein_coding","ARHGAP35",NA
"204173_at","ENSG00000196465","protein_coding","MYL6B",NA
"202428_x_at","ENSG00000155368","protein_coding","DBI",NA
"204920_at","ENSG00000021826","protein_coding","CPS1",NA
"203853_s_at","ENSG00000033327","protein_coding","GAB2",NA
"203872_at","ENSG00000143632","protein_coding","ACTA1",NA
"203734_at","ENSG00000065970","protein_coding","FOXJ2",NA
"203670_at","ENSG00000214021","protein_coding","TTLL3",NA
"200820_at","ENSG00000099341","protein_coding","PSMD8",NA
"201745_at","ENSG00000151239","protein_coding","TWF1",NA
"202410_x_at","ENSG00000129965","protein_coding","INS-IGF2",NA
"202410_x_at","ENSG00000207805","miRNA","MIR483",NA
"200812_at","ENSG00000135624","protein_coding","CCT7",NA
"202153_s_at","ENSG00000213024","protein_coding","NUP62",NA
"203602_s_at","ENSG00000116809","protein_coding","ZBTB17",NA
"203601_s_at","ENSG00000116809","protein_coding","ZBTB17",NA
"200095_x_at","ENSG00000244313","processed_pseudogene","",NA
"200817_x_at","ENSG00000244313","processed_pseudogene","",NA
"203809_s_at","ENSG00000105221","protein_coding","AKT2",NA
"201820_at","ENSG00000186081","protein_coding","KRT5",NA
"202647_s_at","ENSG00000213281","protein_coding","NRAS",NA
"204666_s_at","ENSG00000052723","protein_coding","SIKE1",NA
"202201_at","ENSG00000090013","protein_coding","BLVRB",NA
"203861_s_at","ENSG00000077522","protein_coding","ACTN2",NA
"203862_s_at","ENSG00000077522","protein_coding","ACTN2",NA
"203863_at","ENSG00000077522","protein_coding","ACTN2",NA
"203864_s_at","ENSG00000077522","protein_coding","ACTN2",NA
"201050_at","ENSG00000105223","protein_coding","PLD3",NA
"204030_s_at","ENSG00000283154","protein_coding","IQCJ-SCHIP1",NA
"203239_s_at","ENSG00000088038","protein_coding","CNOT3",NA
"201266_at","ENSG00000198431","protein_coding","TXNRD1",NA
"203054_s_at","ENSG00000145022","protein_coding","TCTA",NA
"204056_s_at","ENSG00000110921","protein_coding","MVK",NA
"203393_at","ENSG00000289385","lncRNA","",NA
"203394_s_at","ENSG00000289385","lncRNA","",NA
"204919_at","ENSG00000111215","protein_coding","PRR4",NA
"203012_x_at","ENSG00000234851","processed_pseudogene","RPL23AP42",NA
"203046_s_at","ENSG00000111602","protein_coding","TIMELESS",NA
"203032_s_at","ENSG00000091483","protein_coding","FH",NA
"203033_x_at","ENSG00000091483","protein_coding","FH",NA
"200019_s_at","ENSG00000149806","protein_coding","FAU",NA
"200019_s_at","ENSG00000162298","protein_coding","SYVN1",NA
"201717_at","ENSG00000149792","protein_coding","MRPL49",NA
"200752_s_at","ENSG00000014216","protein_coding","CAPN1",NA
"201372_s_at","ENSG00000036257","protein_coding","CUL3",NA
"201371_s_at","ENSG00000036257","protein_coding","CUL3",NA
"201370_s_at","ENSG00000036257","protein_coding","CUL3",NA
"204129_at","ENSG00000116128","protein_coding","BCL9",NA
"204603_at","ENSG00000174371","protein_coding","EXO1",NA
"203886_s_at","ENSG00000163520","protein_coding","FBLN2",NA
"201697_s_at","ENSG00000130816","protein_coding","DNMT1",NA
"202556_s_at","ENSG00000187778","protein_coding","MCRS1",NA
"201795_at","ENSG00000143815","protein_coding","LBR",NA
"202516_s_at","ENSG00000075711","protein_coding","DLG1",NA
"202514_at","ENSG00000075711","protein_coding","DLG1",NA
"202515_at","ENSG00000075711","protein_coding","DLG1",NA
"204912_at","ENSG00000110324","protein_coding","IL10RA",NA
"202652_at","ENSG00000166313","protein_coding","APBB1",NA
"201103_x_at","ENSG00000271383","protein_coding","NBPF19",NA
"201104_x_at","ENSG00000271383","protein_coding","NBPF19",NA
"203411_s_at","ENSG00000160789","protein_coding","LMNA",NA
"201784_s_at","ENSG00000110696","protein_coding","C11orf58",NA
"200084_at","ENSG00000110696","protein_coding","C11orf58",NA
"200894_s_at","ENSG00000004478","protein_coding","FKBP4",NA
"200895_s_at","ENSG00000004478","protein_coding","FKBP4",NA
"201654_s_at","ENSG00000142798","protein_coding","HSPG2",NA
"201655_s_at","ENSG00000142798","protein_coding","HSPG2",NA
"201815_s_at","ENSG00000131374","protein_coding","TBC1D5",NA
"201814_at","ENSG00000131374","protein_coding","TBC1D5",NA
"201813_s_at","ENSG00000131374","protein_coding","TBC1D5",NA
"202580_x_at","ENSG00000111206","protein_coding","FOXM1",NA
"204812_at","ENSG00000086827","protein_coding","ZW10",NA
"204236_at","ENSG00000151702","protein_coding","FLI1",NA
"203844_at","ENSG00000134086","protein_coding","VHL",NA
"204281_at","ENSG00000197905","protein_coding","TEAD4",NA
"204549_at","ENSG00000263528","protein_coding","IKBKE",NA
"200741_s_at","ENSG00000227081","processed_pseudogene","",NA
"201711_x_at","ENSG00000185304","protein_coding","RGPD2",NA
"201016_at","ENSG00000236698","processed_pseudogene","EIF1AXP1",NA
"201019_s_at","ENSG00000236698","processed_pseudogene","EIF1AXP1",NA
"204532_x_at","ENSG00000242515","protein_coding","UGT1A10",NA
"204922_at","ENSG00000173715","protein_coding","C11orf80",NA
"202330_s_at","ENSG00000076248","protein_coding","UNG",NA
"204476_s_at","ENSG00000173599","protein_coding","PC",NA
"203020_at","ENSG00000152061","protein_coding","RABGAP1L",NA
"203368_at","ENSG00000288550","protein_coding","",NA
"202830_s_at","ENSG00000137700","protein_coding","SLC37A4",NA
"203841_x_at","ENSG00000084764","protein_coding","MAPRE3",NA
"203842_s_at","ENSG00000084764","protein_coding","MAPRE3",NA
"204441_s_at","ENSG00000014138","protein_coding","POLA2",NA
"202545_at","ENSG00000163932","protein_coding","PRKCD",NA
"202116_at","ENSG00000133884","protein_coding","DPF2",NA
"204163_at","ENSG00000138080","protein_coding","EMILIN1",NA
"203511_s_at","ENSG00000054116","protein_coding","TRAPPC3",NA
"203512_at","ENSG00000054116","protein_coding","TRAPPC3",NA
"201783_s_at","ENSG00000173039","protein_coding","RELA",NA
"204087_s_at","ENSG00000138074","protein_coding","SLC5A6",NA
"200714_x_at","ENSG00000135506","protein_coding","OS9",NA
"203186_s_at","ENSG00000196154","protein_coding","S100A4",NA
"204268_at","ENSG00000196754","protein_coding","S100A2",NA
"202715_at","ENSG00000084774","protein_coding","CAD",NA
"202598_at","ENSG00000189171","protein_coding","S100A13",NA
"202598_at","ENSG00000271853","lncRNA","",NA
"202559_x_at","ENSG00000160679","protein_coding","CHTOP",NA
"202560_s_at","ENSG00000160679","protein_coding","CHTOP",NA
"201918_at","ENSG00000114120","protein_coding","SLC25A36",NA
"201919_at","ENSG00000114120","protein_coding","SLC25A36",NA
"201917_s_at","ENSG00000114120","protein_coding","SLC25A36",NA
"203466_at","ENSG00000115204","protein_coding","MPV17",NA
"204366_s_at","ENSG00000115204","protein_coding","MPV17",NA
"203189_s_at","ENSG00000110717","protein_coding","NDUFS8",NA
"203190_at","ENSG00000110717","protein_coding","NDUFS8",NA
"200717_x_at","ENSG00000227525","processed_pseudogene","RPL7P6",NA
"203189_s_at","ENSG00000284293","miRNA","MIR7113",NA
"200919_at","ENSG00000134686","protein_coding","PHC2",NA
"204158_s_at","ENSG00000255031","lncRNA","",NA
"204266_s_at","ENSG00000110721","protein_coding","CHKA",NA
"204233_s_at","ENSG00000110721","protein_coding","CHKA",NA
"201738_at","ENSG00000114784","protein_coding","EIF1B",NA
"202195_s_at","ENSG00000117500","protein_coding","TMED5",NA
"202194_at","ENSG00000117500","protein_coding","TMED5",NA
"200074_s_at","ENSG00000188846","protein_coding","RPL14",NA
"200741_s_at","ENSG00000234287","processed_pseudogene","",NA
"202343_x_at","ENSG00000135940","protein_coding","COX5B",NA
"201533_at","ENSG00000168036","protein_coding","CTNNB1",NA
"202135_s_at","ENSG00000115073","protein_coding","ACTR1B",NA
"203603_s_at","ENSG00000169554","protein_coding","ZEB2",NA
"201440_at","ENSG00000174243","protein_coding","DDX23",NA
"204158_s_at","ENSG00000110719","protein_coding","TCIRG1",NA
"201103_x_at","ENSG00000286185","protein_coding","",NA
"201104_x_at","ENSG00000286185","protein_coding","",NA
"201003_x_at","ENSG00000163435","protein_coding","ELF3",NA
"201510_at","ENSG00000163435","protein_coding","ELF3",NA
"204645_at","ENSG00000082258","protein_coding","CCNT2",NA
"201455_s_at","ENSG00000141279","protein_coding","NPEPPS",NA
"201454_s_at","ENSG00000141279","protein_coding","NPEPPS",NA
"201510_at","ENSG00000249007","lncRNA","",NA
"204852_s_at","ENSG00000143851","protein_coding","PTPN7",NA
"202079_s_at","ENSG00000182606","protein_coding","TRAK1",NA
"201283_s_at","ENSG00000182606","protein_coding","TRAK1",NA
"202080_s_at","ENSG00000182606","protein_coding","TRAK1",NA
"201696_at","ENSG00000116350","protein_coding","SRSF4",NA
"203223_at","ENSG00000029725","protein_coding","RABEP1",NA
"203105_s_at","ENSG00000087470","protein_coding","DNM1L",NA
"202764_at","ENSG00000167323","protein_coding","STIM1",NA
"202913_at","ENSG00000132694","protein_coding","ARHGEF11",NA
"202914_s_at","ENSG00000132694","protein_coding","ARHGEF11",NA
"203039_s_at","ENSG00000023228","protein_coding","NDUFS1",NA
"200775_s_at","ENSG00000243547","processed_pseudogene","HNRNPKP4",NA
"202900_s_at","ENSG00000108559","protein_coding","NUP88",NA
"200705_s_at","ENSG00000114942","protein_coding","EEF1B2",NA
"202410_x_at","ENSG00000167244","protein_coding","IGF2",NA
"202409_at","ENSG00000167244","protein_coding","IGF2",NA
"202410_x_at","ENSG00000284779","protein_coding","",NA
"202409_at","ENSG00000284779","protein_coding","",NA
"200675_at","ENSG00000110651","protein_coding","CD81",NA
"200614_at","ENSG00000141367","protein_coding","CLTC",NA
"203515_s_at","ENSG00000163344","protein_coding","PMVK",NA
"200777_s_at","ENSG00000082153","protein_coding","BZW1",NA
"200776_s_at","ENSG00000082153","protein_coding","BZW1",NA
"201469_s_at","ENSG00000163348","protein_coding","PYGO2",NA
"201469_s_at","ENSG00000160691","protein_coding","SHC1",NA
"201536_at","ENSG00000108861","protein_coding","DUSP3",NA
"201538_s_at","ENSG00000108861","protein_coding","DUSP3",NA
"201537_s_at","ENSG00000108861","protein_coding","DUSP3",NA
"204663_at","ENSG00000151376","protein_coding","ME3",NA
"201897_s_at","ENSG00000173207","protein_coding","CKS1B",NA
"203409_at","ENSG00000134574","protein_coding","DDB2",NA
"201511_at","ENSG00000127837","protein_coding","AAMP",NA
"202767_at","ENSG00000134575","protein_coding","ACP2",NA
"204103_at","ENSG00000275302","protein_coding","CCL4",NA
"203920_at","ENSG00000025434","protein_coding","NR1H3",NA
"203833_s_at","ENSG00000152291","protein_coding","TGOLN2",NA
"203834_s_at","ENSG00000152291","protein_coding","TGOLN2",NA
"203838_s_at","ENSG00000061938","protein_coding","TNK2",NA
"203839_s_at","ENSG00000061938","protein_coding","TNK2",NA
"200924_s_at","ENSG00000168003","protein_coding","SLC3A2",NA
"202658_at","ENSG00000131779","protein_coding","PEX11B",NA
"201010_s_at","ENSG00000265972","protein_coding","TXNIP",NA
"201008_s_at","ENSG00000265972","protein_coding","TXNIP",NA
"201009_s_at","ENSG00000265972","protein_coding","TXNIP",NA
"201850_at","ENSG00000042493","protein_coding","CAPG",NA
"201103_x_at","ENSG00000271425","protein_coding","NBPF10",NA
"201104_x_at","ENSG00000271425","protein_coding","NBPF10",NA
"203195_s_at","ENSG00000110713","protein_coding","NUP98",NA
"203194_s_at","ENSG00000110713","protein_coding","NUP98",NA
"204784_s_at","ENSG00000178053","protein_coding","MLF1",NA
"204783_at","ENSG00000178053","protein_coding","MLF1",NA
"200769_s_at","ENSG00000168906","protein_coding","MAT2A",NA
"200768_s_at","ENSG00000168906","protein_coding","MAT2A",NA
"202546_at","ENSG00000118640","protein_coding","VAMP8",NA
"204929_s_at","ENSG00000168899","protein_coding","VAMP5",NA
"204341_at","ENSG00000108448","transcribed_unprocessed_pseudogene","TRIM16L",NA
"204167_at","ENSG00000169814","protein_coding","BTD",NA
"201936_s_at","ENSG00000075151","protein_coding","EIF4G3",NA
"201935_s_at","ENSG00000075151","protein_coding","EIF4G3",NA
"200624_s_at","ENSG00000242140","processed_pseudogene","",NA
"201635_s_at","ENSG00000114416","protein_coding","FXR1",NA
"201636_at","ENSG00000114416","protein_coding","FXR1",NA
"201637_s_at","ENSG00000114416","protein_coding","FXR1",NA
"203487_s_at","ENSG00000114098","protein_coding","ARMC8",NA
"203486_s_at","ENSG00000114098","protein_coding","ARMC8",NA
"203723_at","ENSG00000143772","protein_coding","ITPKB",NA
"200660_at","ENSG00000163191","protein_coding","S100A11",NA
"201103_x_at","ENSG00000266338","protein_coding","NBPF15",NA
"201104_x_at","ENSG00000266338","protein_coding","NBPF15",NA
"203641_s_at","ENSG00000082438","protein_coding","COBLL1",NA
"203642_s_at","ENSG00000082438","protein_coding","COBLL1",NA
"201173_x_at","ENSG00000090273","protein_coding","NUDC",NA
"201656_at","ENSG00000091409","protein_coding","ITGA6",NA
"201411_s_at","ENSG00000115762","protein_coding","PLEKHB2",NA
"201410_at","ENSG00000115762","protein_coding","PLEKHB2",NA
"204299_at","ENSG00000188529","protein_coding","SRSF10",NA
"201056_at","ENSG00000173230","protein_coding","GOLGB1",NA
"201057_s_at","ENSG00000173230","protein_coding","GOLGB1",NA
"202175_at","ENSG00000123989","protein_coding","CHPF",NA
"202846_s_at","ENSG00000135845","protein_coding","PIGC",NA
"203648_at","ENSG00000157014","protein_coding","TATDN2",NA
"201244_s_at","ENSG00000132155","protein_coding","RAF1",NA
"203855_at","ENSG00000085433","protein_coding","WDR47",NA
"201104_x_at","ENSG00000219481","protein_coding","NBPF1",NA
"202554_s_at","ENSG00000134202","protein_coding","GSTM3",NA
"203550_s_at","ENSG00000160767","protein_coding","FAM189B",NA
"201567_s_at","ENSG00000144674","protein_coding","GOLGA4",NA
"204777_s_at","ENSG00000172005","protein_coding","MAL",NA
"203408_s_at","ENSG00000182568","protein_coding","SATB1",NA
"203319_s_at","ENSG00000163848","protein_coding","ZNF148",NA
"203318_s_at","ENSG00000163848","protein_coding","ZNF148",NA
"201932_at","ENSG00000132128","protein_coding","LRRC41",NA
"204366_s_at","ENSG00000115207","protein_coding","GTF3C2",NA
"202165_at","ENSG00000184203","protein_coding","PPP1R2",NA
"202166_s_at","ENSG00000184203","protein_coding","PPP1R2",NA
"201525_at","ENSG00000189058","protein_coding","APOD",NA
"201224_s_at","ENSG00000133226","protein_coding","SRRM1",NA
"201225_s_at","ENSG00000133226","protein_coding","SRRM1",NA
"202832_at","ENSG00000135968","protein_coding","GCC2",NA
"201103_x_at","ENSG00000263956","protein_coding","NBPF11",NA
"201104_x_at","ENSG00000263956","protein_coding","NBPF11",NA
"204312_x_at","ENSG00000118260","protein_coding","CREB1",NA
"204313_s_at","ENSG00000118260","protein_coding","CREB1",NA
"204314_s_at","ENSG00000118260","protein_coding","CREB1",NA
"202742_s_at","ENSG00000142875","protein_coding","PRKACB",NA
"202741_at","ENSG00000142875","protein_coding","PRKACB",NA
"202443_x_at","ENSG00000134250","protein_coding","NOTCH2",NA
"202445_s_at","ENSG00000134250","protein_coding","NOTCH2",NA
"202657_s_at","ENSG00000179833","protein_coding","SERTAD2",NA
"202656_s_at","ENSG00000179833","protein_coding","SERTAD2",NA
"200679_x_at","ENSG00000132967","transcribed_processed_pseudogene","HMGB1P5",NA
"200680_x_at","ENSG00000132967","transcribed_processed_pseudogene","HMGB1P5",NA
"201082_s_at","ENSG00000264324","protein_coding","",NA
"204296_at","ENSG00000264324","protein_coding","",NA
"201429_s_at","ENSG00000197756","protein_coding","RPL37A",NA
"202718_at","ENSG00000115457","protein_coding","IGFBP2",NA
"203424_s_at","ENSG00000115461","protein_coding","IGFBP5",NA
"203426_s_at","ENSG00000115461","protein_coding","IGFBP5",NA
"203425_s_at","ENSG00000115461","protein_coding","IGFBP5",NA
"202703_at","ENSG00000144048","protein_coding","DUSP11",NA
"204149_s_at","ENSG00000168765","protein_coding","GSTM4",NA
"204550_x_at","ENSG00000168765","protein_coding","GSTM4",NA
"204418_x_at","ENSG00000168765","protein_coding","GSTM4",NA
"200023_s_at","ENSG00000233426","processed_pseudogene","EIF3FP3",NA
"203003_at","ENSG00000116604","protein_coding","MEF2D",NA
"203004_s_at","ENSG00000116604","protein_coding","MEF2D",NA
"201711_x_at","ENSG00000183054","protein_coding","RGPD6",NA
"203089_s_at","ENSG00000115317","protein_coding","HTRA2",NA
"202819_s_at","ENSG00000011007","protein_coding","ELOA",NA
"202818_s_at","ENSG00000011007","protein_coding","ELOA",NA
"202772_at","ENSG00000117305","protein_coding","HMGCL",NA
"202838_at","ENSG00000179163","protein_coding","FUCA1",NA
"204345_at","ENSG00000084636","protein_coding","COL16A1",NA
"200877_at","ENSG00000115484","protein_coding","CCT4",NA
"201612_at","ENSG00000143149","protein_coding","ALDH9A1",NA
"202351_at","ENSG00000138448","protein_coding","ITGAV",NA
"202708_s_at","ENSG00000184678","protein_coding","H2BC21",NA
"202786_at","ENSG00000198648","protein_coding","STK39",NA
"200680_x_at","ENSG00000214821","processed_pseudogene","HMGB1P4",NA
"201711_x_at","ENSG00000153201","protein_coding","RANBP2",NA
"201712_s_at","ENSG00000153201","protein_coding","RANBP2",NA
"201713_s_at","ENSG00000153201","protein_coding","RANBP2",NA
"202762_at","ENSG00000134318","protein_coding","ROCK2",NA
"204882_at","ENSG00000163219","protein_coding","ARHGAP25",NA
"201624_at","ENSG00000115866","protein_coding","DARS1",NA
"201623_s_at","ENSG00000115866","protein_coding","DARS1",NA
"203287_at","ENSG00000159166","protein_coding","LAD1",NA
"200621_at","ENSG00000159176","protein_coding","CSRP1",NA
"202794_at","ENSG00000151689","protein_coding","INPP1",NA
"203035_s_at","ENSG00000131788","protein_coding","PIAS3",NA
"203711_s_at","ENSG00000198130","protein_coding","HIBCH",NA
"200885_at","ENSG00000155366","protein_coding","RHOC",NA
"200885_at","ENSG00000271810","protein_coding","",NA
"201103_x_at","ENSG00000273136","protein_coding","NBPF26",NA
"201104_x_at","ENSG00000273136","protein_coding","NBPF26",NA
"200842_s_at","ENSG00000136628","protein_coding","EPRS1",NA
"200843_s_at","ENSG00000136628","protein_coding","EPRS1",NA
"200841_s_at","ENSG00000136628","protein_coding","EPRS1",NA
"202372_at","ENSG00000118873","protein_coding","RAB3GAP2",NA
"202374_s_at","ENSG00000118873","protein_coding","RAB3GAP2",NA
